uid,level,vip_type,vip_status,time_after
255067706,3,2,1,593477
344612951,4,0,0,593157
474392154,3,1,0,590350
381453885,3,0,0,590026
39597268,5,1,0,589892
155878352,4,1,0,589749
526588133,2,0,0,589387
443360198,3,0,0,588101
111186169,4,2,1,587949
421670228,3,0,0,586511
11170608,4,0,0,586476
526896691,2,0,0,586435
436754226,2,0,0,586410
373515371,4,1,0,586148
345036851,4,0,0,585974
384017338,3,1,1,585332
373163767,3,0,0,584970
349458207,3,0,0,584945
291107797,4,0,0,584882
222075811,5,2,1,584696
401511092,4,1,0,584388
20955231,5,1,0,584211
31293694,5,1,1,583495
403297555,4,1,0,583121
440730668,3,0,0,583103
242167319,4,1,0,582859
271583130,2,0,0,582678
334964788,3,0,0,582147
10113958,5,1,0,582141
281775843,4,1,0,581897
421198853,4,1,0,581811
501004913,2,0,0,581493
501004913,2,0,0,581449
422782886,3,0,0,581209
349974370,4,0,0,580994
479003833,3,1,0,580891
21229844,5,1,0,580851
434707855,4,0,0,580659
262332237,5,1,0,580574
50499255,3,0,0,580473
311402654,4,0,0,580442
174523650,5,1,0,580389
515203991,3,1,1,449285
275001020,3,0,0,421474
252543714,2,0,0,362652
34589472,4,0,0,356806
435405618,3,1,0,355357
433541459,2,0,0,354998
447706895,3,0,0,351571
565779436,2,0,0,336305
31825960,5,0,0,335425
158587292,4,0,0,311602
490680448,2,0,0,268852
453952652,3,0,0,264119
438986230,3,0,0,258279
16265124,5,0,0,242495
422519508,3,2,1,225389
434964353,3,1,0,191087
197584267,3,0,0,185499
475626613,2,0,0,174905
174468214,5,1,1,174215
524647269,2,0,0,167228
194554547,5,1,0,152115
281457654,5,0,0,150835
353563495,3,1,1,149940
504562996,2,0,0,148054
436362414,2,0,0,145476
43310618,4,1,0,139412
51136632,5,1,0,131844
360772737,3,0,0,108744
515260976,2,0,0,107661
362065873,3,0,0,106932
362065873,3,0,0,106896
386876628,2,0,0,105524
73803855,4,0,0,101552
446318882,2,0,0,97785
37276271,5,1,0,96032
413116775,3,0,0,94861
434387646,2,0,0,94024
438474436,2,0,0,92237
493487104,3,0,0,92080
410733765,3,1,0,89820
9860464,5,1,0,89817
447333763,4,0,0,89091
523545268,3,1,1,88937
470964132,2,1,0,87395
85638772,4,0,0,85944
397569939,4,0,0,85513
66381516,4,1,0,84393
381874230,4,1,0,84185
444846712,3,0,0,83743
395233922,4,0,0,83684
14635508,5,1,0,83317
26598752,4,0,0,82494
555937572,2,0,0,82119
382380238,4,0,0,79981
432272708,4,0,0,79315
365418219,3,0,0,75612
15688406,5,0,0,74871
239866807,5,0,0,73240
324179192,2,0,0,71105
454934840,4,0,0,69352
499071248,3,1,0,69007
401437006,3,0,0,68639
330942229,2,0,0,68351
291334282,3,0,0,68077
433334326,3,1,0,67413
432282784,4,1,1,67070
353217058,4,2,1,65980
170684837,5,2,1,65817
94780447,2,0,0,65615
578135832,2,0,0,64478
5847505,5,0,0,64302
40682840,4,0,0,64395
427620229,3,0,0,59435
12297672,4,1,0,58924
404270489,4,1,1,56880
433883702,3,0,0,56300
440985651,2,0,0,56253
382390099,2,0,0,56349
120302100,4,0,0,55653
27536210,3,0,0,55483
275239876,2,0,0,55192
108111380,4,0,0,54668
401349562,4,0,0,54812
293561990,5,0,0,53034
32022937,5,2,1,52295
354738177,3,0,0,51503
185853720,3,1,0,51093
376358315,4,1,1,50222
378806892,4,0,0,49531
278108793,3,0,0,48414
523279099,2,0,0,48202
102511670,4,1,0,47889
473435949,3,0,0,47049
285859452,5,0,0,45459
222822682,4,1,1,43748
346308482,3,0,0,39251
382237955,3,0,0,25833
87098450,5,2,1,24510
87098450,5,2,1,24379
434654717,4,2,1,24019
9444976,5,1,0,23724
95456247,4,0,0,22745
88429795,5,0,0,22645
523357974,3,0,0,22576
523357974,3,0,0,22463
97682071,4,0,0,22359
38644387,4,2,1,22094
274035969,3,0,0,21990
383712366,4,1,0,21375
33800184,5,2,1,21180
330518222,4,0,0,21059
351137771,3,1,0,20741
292822017,4,0,0,20588
16211652,4,0,0,20678
521607392,3,0,0,20186
301492707,4,0,0,20008
363053280,3,0,0,19758
34680819,4,1,0,19767
342620457,4,0,0,19652
400226194,2,0,0,19601
441125512,3,0,0,18584
242229199,4,0,0,18576
480444029,3,1,0,18406
69457320,5,0,0,18358
360579879,3,0,0,18104
511087204,2,0,0,18026
470393134,3,0,0,17976
413023857,4,0,0,17596
299327301,4,0,0,16747
93685864,4,1,0,16300
297984355,4,0,0,16350
85948835,3,0,0,15750
22679136,5,0,0,15665
85948835,3,0,0,15591
19537492,4,0,0,15511
46042014,4,2,1,14955
96104895,3,0,0,14536
51271282,4,0,0,14506
158140944,4,0,0,14333
69081809,5,2,1,14136
456595757,3,0,0,14051
10727237,5,1,0,14122
393712251,4,0,0,13922
182065605,4,2,1,13888
242436829,4,2,1,13664
454287668,4,1,1,13625
371668576,4,1,1,13632
441392603,3,1,0,13493
508599617,3,0,0,13317
280402364,3,1,1,13220
7677300,4,0,0,13071
512809457,3,0,0,12723
43132913,5,0,0,12648
419733228,3,0,0,12542
255167729,4,2,1,12509
539295134,2,0,0,12351
389856799,3,0,0,12399
393120011,3,0,0,12197
434480484,3,2,1,12190
497588205,3,0,0,11669
357207588,3,0,0,11537
169901937,3,0,0,11437
442596882,4,0,0,11438
126088955,3,0,0,11293
386062650,4,0,0,11240
435088565,4,1,0,11338
352118394,4,0,0,11286
217032206,4,0,0,11188
61409998,4,1,0,10810
507122510,2,0,0,10853
787703,4,0,0,10826
356881896,3,0,0,10663
479700449,3,0,0,10585
359675681,4,1,1,10608
180031623,4,2,1,10589
194240500,5,0,0,10458
259293082,5,1,1,10446
239697063,4,1,0,10335
51689250,5,0,0,10355
27032807,3,0,0,9901
326739417,2,0,0,9726
291136805,4,0,0,9677
15031494,4,1,1,9557
436559804,2,1,0,9546
399660229,3,0,0,9334
355537655,4,0,0,9337
577739112,2,0,0,9244
373163767,3,0,0,9149
515729975,2,0,0,8967
323580192,3,0,0,9050
21176672,5,1,0,8831
173464089,5,1,1,8609
446671619,3,0,0,8563
124602783,4,2,1,8508
109029031,5,0,0,8445
271856367,4,0,0,8253
396294856,3,1,0,8202
586851154,2,0,0,8152
328928938,4,0,0,8046
194222298,5,2,1,7984
411245719,3,0,0,7742
396670687,3,2,1,7704
483467024,3,0,0,7669
456311391,4,0,0,7478
480171268,2,0,0,7315
224478228,4,2,1,7248
1882762,5,2,1,7244
237703515,4,2,1,7224
30809509,3,1,0,7020
40004850,3,0,0,6994
432565249,3,1,0,6729
294823822,4,1,1,6706
437657378,3,0,0,6650
73835103,4,2,1,6568
268848551,4,0,0,6519
475073343,2,0,0,6393
398607725,3,1,0,6496
496090345,2,0,0,6025
491154220,2,0,0,5639
515798514,2,0,0,5707
431691887,4,2,1,5700
21727842,5,2,1,5604
303736081,4,0,0,5507
399835494,3,0,0,5275
480717552,2,0,0,5271
470216241,3,0,0,5268
486648928,3,0,0,5224
29106974,4,0,0,5041
506990256,2,0,0,5020
383683058,5,1,1,4966
360369515,4,2,1,4805
503586986,3,0,0,4678
346714768,4,0,0,4400
490739943,3,1,0,4471
487937011,2,0,0,4387
301819150,4,1,0,4313
442466760,3,0,0,4304
