uid,level,vip_type,vip_status,time_after
40960200,3,2,1,-1828061
40960200,3,2,1,-1841483
40960200,3,2,1,-1847862
40960200,3,2,1,-1848042
40960200,3,2,1,-1848107
40960200,3,2,1,-1957110
40960200,3,2,1,-1996539
40960200,3,2,1,-1996583
40960200,3,2,1,-2014566
40960200,3,2,1,-2014790
40960200,3,2,1,-2015651
40960200,3,2,1,-2146174
40960200,3,2,1,-2146222
40960200,3,2,1,-2199819
40960200,3,2,1,-2199833
40960200,3,2,1,-2336646
40960200,3,2,1,-2336648
40960200,3,2,1,-2337248
40960200,3,2,1,-2337592
40960200,3,2,1,-2337663
40960200,3,2,1,-2363593
40960200,3,2,1,-2363730
40960200,3,2,1,-2363943
40960200,3,2,1,-2363986
40960200,3,2,1,-2364125
40960200,3,2,1,-2364184
40960200,3,2,1,-2365234
40960200,3,2,1,-2443185
40960200,3,2,1,-2443266
40960200,3,2,1,-2444244
40960200,3,2,1,-2447046
40960200,3,2,1,-2450263
40960200,3,2,1,-2451608
40960200,3,2,1,-2510052
40960200,3,2,1,-2510095
40960200,3,2,1,-2510143
40960200,3,2,1,-2510201
40960200,3,2,1,-2536228
40960200,3,2,1,-2537992
40960200,3,2,1,-2538699
40960200,3,2,1,-2600503
40960200,3,2,1,-2600548
40960200,3,2,1,-2600658
40960200,3,2,1,-2625016
40960200,3,2,1,-2625201
40960200,3,2,1,-2625228
40960200,3,2,1,-2625249
40960200,3,2,1,-2625327
40960200,3,2,1,-2625377
40960200,3,2,1,-2625425
40960200,3,2,1,-2625471
40960200,3,2,1,-2625577
40960200,3,2,1,-2625594
40960200,3,2,1,-2625695
40960200,3,2,1,-2777596
40960200,3,2,1,-2777626
40960200,3,2,1,-2777731
40960200,3,2,1,-2777914
40960200,3,2,1,-2777956
40960200,3,2,1,-2795383
40960200,3,2,1,-2795470
40960200,3,2,1,-2796894
40960200,3,2,1,-2856770
40960200,3,2,1,-2866270
40960200,3,2,1,-2884391
40960200,3,2,1,-2884410
40960200,3,2,1,-2929610
40960200,3,2,1,-2929632
40960200,3,2,1,-2929680
40960200,3,2,1,-2929792
40960200,3,2,1,-2944414
40960200,3,2,1,-2944929
40960200,3,2,1,-2944981
40960200,3,2,1,-2945002
40960200,3,2,1,-2963994
40960200,3,2,1,-2964116
40960200,3,2,1,-2968964
40960200,3,2,1,-3009988
40960200,3,2,1,-3010057
40960200,3,2,1,-3010127
40960200,3,2,1,-3010136
40960200,3,2,1,-3010147
40960200,3,2,1,-3010156
40960200,3,2,1,-3010170
40960200,3,2,1,-3010206
40960200,3,2,1,-3010258
40960200,3,2,1,-3010334
40960200,3,2,1,-3036355
40960200,3,2,1,-3036872
40960200,3,2,1,-3036907
40960200,3,2,1,-3039451
40960200,3,2,1,-3039483
40960200,3,2,1,-3039539
